plazoOperacion,montoCuotaOperacion,ingresosCliente,montoOperacion,gastosCliente,valorVehiculo,numeroCuotasInicioOperacion,edadCliente,codigoProvinciaCliente_10,codigoProvinciaCliente_9,codigoProvinciaCliente_otro,marcaVehiculo_Chery,marcaVehiculo_Chevrolet,marcaVehiculo_DFSK,marcaVehiculo_Hyundai,marcaVehiculo_otro,tipoResidenciaCliente_A,tipoResidenciaCliente_F,tipoResidenciaCliente_otro,claseVehiculo_Camion,codigoNivelEstudiosCliente_P,Es_Bueno
708,445.38,2880.0,12958.8,475.79944868128257,17990.0,48,51,0,0,1,0,0,0,1,0,1,0,0,0,0,SI
1502,698.1,1668.0,18923.71,169.9,31989.44,48,38,0,0,1,0,1,0,0,0,1,0,0,0,0,NO
1827,467.79,1850.0,14926.8,831.868553503788,24490.0,60,54,0,0,1,0,0,0,0,1,1,0,0,0,1,SI
1461,1749.39,8000.0,15836.8,2910.0,22000.0,16,36,1,0,0,0,1,0,0,0,0,0,1,0,0,NO
1461,837.635,1500.0,23269.73,200.0,38044.0,48,28,0,0,1,0,1,0,0,0,0,1,0,1,0,NO
1461,588.38,6000.0,15830.24,650.0,22432.4,48,33,1,0,0,0,0,0,0,1,0,0,1,1,1,NO
140,451.22,1200.0,11708.22,475.79944868128257,16790.0,48,68,0,0,1,0,1,0,0,0,0,0,1,0,0,SI
1865,352.97,2710.0,11357.8,475.79944868128257,19390.0,60,43,0,1,0,0,0,0,1,0,1,0,0,0,0,SI
1461,397.545,1200.0,8390.62,475.79944868128257,14790.0,48,31,0,0,1,0,0,0,0,1,0,0,1,0,0,NO
30,1735.45,5038.570953984289,1502.16,225.72,49990.0,1,58,0,0,1,0,0,0,0,1,1,0,0,0,0,SI
1851,621.735,3502.073231534092,19915.6,3068.22,25990.0,60,67,0,1,0,0,0,0,0,1,0,1,0,0,0,NO
397,480.97,2512.423058468384,11462.4,597.71,16046.0,36,37,0,0,1,0,1,0,0,0,0,1,0,0,0,SI
1096,317.53,865.0,7018.7,475.79944868128257,12690.0,36,58,0,0,1,0,1,0,0,0,1,0,0,0,0,SI
1864,399.135,35250.0,11548.4,475.79944868128257,18790.0,60,59,0,0,1,0,0,0,0,1,1,0,0,0,0,NO
1476,757.895,1500.0,20859.2,822.43,29200.0,48,39,0,0,1,0,0,0,0,1,1,0,0,0,1,NO
1489,1082.565,3700.0,29354.35,1188.0982828282824,49157.75,48,43,0,0,1,0,1,0,0,0,0,0,1,1,0,SI
1461,1968.165,7550.0,62440.35,500.0,66941.75,48,36,0,0,1,0,1,0,0,0,0,0,1,1,0,NO
1852,425.935,825.0,12155.4,1691.63,15302.0,60,60,0,0,1,0,1,0,0,0,0,0,1,0,0,NO
670,663.87,30108.0,12050.9,7900.0,15590.0,24,39,1,0,0,0,0,0,0,1,0,0,1,0,0,SI
1463,380.93,1800.0,10370.0,475.79944868128257,16390.0,48,47,0,0,1,0,0,0,1,0,1,0,0,0,0,SI
1288,529.84,1124.0,17865.35,5.81,23990.0,60,39,0,1,0,0,1,0,0,0,1,0,0,0,0,SI
1505,276.34,4400.0,9366.4,475.79944868128257,11390.0,48,59,0,0,1,0,1,0,0,0,0,0,1,0,0,NO
1473,424.51,2336.0,11604.4,475.79944868128257,14995.0,48,43,0,1,0,0,0,0,0,1,1,0,0,0,1,NO
1488,717.085,3000.0,21136.54,1961.26,27697.5,48,51,0,0,1,0,1,0,0,0,1,0,0,0,0,NO
719,530.935,2212.0,10466.63,830.0,22748.45,36,49,1,0,0,0,0,0,0,1,0,1,0,0,0,SI
1836,390.93,2968.0,12257.15,262.82,15865.0,60,39,0,1,0,0,1,0,0,0,0,1,0,0,0,NO
1463,675.31,2300.0,19915.6,785.0,27490.0,48,65,0,0,1,0,0,0,1,0,0,0,1,0,0,SI
944,597.47,1510.0,13948.4,130.0,18190.0,36,30,1,0,0,0,0,0,0,1,0,1,0,0,0,SI
1100,524.215,6000.0,11626.0,1600.0,27590.0,36,67,1,0,0,0,0,0,1,0,0,0,1,0,1,SI
1483,958.11,5038.570953984289,26843.44,401.92,36990.0,48,45,0,0,1,0,0,0,1,0,1,0,0,1,1,NO
742,977.73,7000.0,15333.97,1266.53,44908.37,24,46,0,0,1,0,0,0,0,1,1,0,0,0,0,SI
58,10970.16,3502.073231534092,21259.2,280.8,29200.0,2,61,0,0,1,0,0,0,0,1,0,1,0,0,0,SI
1832,435.18,2512.423058468384,14656.19,443.61,17615.0,60,53,0,1,0,0,1,0,0,0,0,1,0,0,1,NO
133,411.17,4550.0,7415.6,800.0,20990.0,36,58,1,0,0,0,0,0,0,1,0,0,1,0,0,SI
1105,1154.92,5000.0,26260.76,300.0,37220.0,36,53,1,0,0,0,0,0,0,1,0,1,0,0,1,NO
1513,911.21,5450.0,25942.87,1500.0,35990.0,48,31,0,0,1,0,0,0,1,0,0,0,1,1,1,NO
1846,306.44,1890.0,10036.84,150.0,14990.0,60,28,0,0,1,0,1,0,0,0,0,1,0,0,1,NO
184,1684.105,12000.0,6914.56,4000.0,15996.0,7,42,0,0,1,0,1,0,0,0,0,0,1,0,0,NO
1482,545.46,3502.073231534092,14265.05,345.19,23990.0,48,40,0,1,0,0,0,0,0,1,0,1,0,0,0,NO
1449,680.11,3000.0,19415.6,700.0,28990.0,49,41,0,0,1,0,0,0,0,1,1,0,0,0,0,SI
1850,321.46,1200.0,10998.4,780.0,14240.0,60,48,0,0,1,0,1,0,0,0,0,0,1,0,1,SI
188,571.34,1400.0,14563.27,950.34,21990.0,48,55,0,0,1,1,0,0,0,0,1,0,0,0,1,NO
1491,520.115,2512.423058468384,12007.62,382.6,19490.0,48,46,0,1,0,0,0,1,0,0,0,1,0,1,1,NO
1839,369.54,3464.0,12256.4,306.44,15865.0,60,48,0,1,0,0,1,0,0,0,0,1,0,0,1,NO
